,text,label
131,check meeting details,not spam
132,discussion about prize now information win,spam
133,now about urgent check win,spam
134,bonus meeting check project now,not spam
135,details now urgent,spam
136,details offer prize today now regarding bonus,spam
137,check details regarding urgent meeting schedule,not spam
138,check free cash information regarding today,spam
139,check now project,not spam
140,about today bonus cash please now,spam
141,schedule team regarding now,not spam
142,client regarding check details today team upda...,not spam
143,schedule about today now,not spam
144,about project details team,not spam
145,about free please bonus now details,spam
146,cash about meeting information report check,not spam
147,check cash regarding about,spam
148,please about schedule,not spam
149,free bonus please details,spam
150,meeting details free today update team,not spam
151,client regarding check free today,not spam
152,meeting about details regarding schedule,not spam
153,bonus team details prize check,spam
154,free information update check details,not spam
155,now information win details money today,spam
156,today project report now please about,not spam
157,information update details team discussion now,not spam
158,cash regarding please free offer,spam
159,money now details check offer cash,spam
160,please schedule regarding bonus,spam
161,schedule now information update details today,not spam
162,regarding bonus information please,spam
163,discussion now schedule please bonus report,not spam
164,about money today project details,not spam
165,regarding check prize about please,spam
166,team free win now details urgent,spam
167,team information today regarding discussion bo...,not spam
168,details about report,not spam
169,about bonus now information free,spam
170,offer today bonus free about,spam
171,now details prize free cash today please,spam
172,now team today meeting schedule,not spam
173,project please about information,not spam
174,money about team today,spam
175,please today schedule now information,not spam
176,now report schedule about please,not spam
177,meeting details regarding schedule please info...,not spam
178,please check team report schedule,not spam
179,today now offer about cash,spam
180,please about now prize details,spam
181,now free urgent information about today win me...,spam
182,schedule about now today information team client,not spam
183,details bonus now please today,spam
184,now urgent about today schedule please,spam
185,offer about check details report client,not spam
186,information about regarding money please,spam
187,cash check now win prize details,spam
188,schedule today client information details abou...,not spam
189,details regarding now about urgent win,spam
190,project please today team about schedule infor...,not spam
191,cash urgent please win now,spam
192,cash check money regarding now bonus,spam
193,regarding offer please money,spam
194,today free regarding please about urgent report,spam
195,information update details check schedule abou...,not spam
196,free regarding please prize,spam
197,bonus regarding team now discussion,not spam
198,please now information urgent check discussion,not spam
199,regarding details cash information please,spam
200,check details now project report,not spam
201,now team discussion regarding schedule please,not spam
202,offer regarding meeting please information urgent,spam
203,urgent regarding please today offer,spam
204,please cash urgent offer now,spam
205,schedule urgent check details meeting today,not spam
206,today check now report meeting discussion,not spam
207,details today report,not spam
208,please regarding team check update prize,not spam
209,today check client about details,not spam
210,client discussion information about meeting,not spam
211,update meeting information details,not spam
212,information about offer project prize urgent d...,spam
213,free about check today,spam
214,details client free today prize,spam
215,today urgent client about details information ...,not spam
216,now free schedule information,not spam
217,regarding please today project details,not spam
218,today update schedule information now,not spam
219,regarding about information today prize,spam
220,information details please win today team,not spam
221,win bonus urgent regarding schedule today,spam
222,meeting money please information,spam
223,regarding update about discussion client details,not spam
224,please regarding information details money mee...,spam
225,details update meeting client win information,not spam
226,information about client update regarding,not spam
227,details cash information discussion regarding ...,spam
228,today meeting check free bonus cash information,spam
229,information client now urgent regarding,spam
230,win free today information cash,spam
231,information regarding meeting team client,not spam
232,win discussion offer urgent please information,spam
233,today free please details discussion,spam
234,win check information,spam
235,please cash update information money,spam
236,information now urgent please meeting regardin...,spam
237,information please team today report,not spam
238,information today cash regarding discussion prize,spam
239,bonus regarding details today about,spam
240,project details update regarding team check,not spam
241,cash now today details information,spam
242,discussion now today offer urgent please regar...,spam
243,team about project please,not spam
244,today please prize urgent regarding,spam
245,money bonus check about information discussion...,spam
246,client project information details please,not spam
247,client win now today check money,spam
248,about update please regarding information clie...,not spam
249,client information discussion regarding team now,not spam
250,client update today information bonus regardin...,not spam
251,money details cash today regarding,spam
252,details schedule now project today,not spam
253,report project now information about today,not spam
254,now meeting report offer update please,not spam
255,please win money bonus project information,spam
256,today regarding urgent check about,spam
257,project about check now cash regarding update,not spam
258,offer win update please money now check,spam
259,client now information,not spam
260,please free check information schedule,not spam
261,information schedule discussion now regarding ...,not spam
262,about now discussion details,not spam
263,details money discussion project check team,not spam
264,meeting information update check details,not spam
265,update free about regarding please report details,not spam
266,now schedule information details,not spam
267,now check schedule cash prize,spam
268,urgent now free please,spam
269,report about discussion information,not spam
270,discussion today money information,spam
271,team discussion today about client,not spam
272,please free now,spam
273,please today team report now about meeting,not spam
274,check regarding cash about information free,spam
275,schedule details today information regarding,not spam
276,today report now bonus free check details cash,spam
277,about prize details urgent,spam
278,urgent today free details now prize,spam
279,now free money bonus please check information,spam
280,check win offer meeting about,spam
281,regarding about please free,spam
282,details urgent please win report now about prize,spam
283,cash information details now today,spam
284,information today offer now bonus about urgent,spam
285,please meeting money details now offer urgent,spam
286,please discussion check cash,spam
287,now today report check discussion details,not spam
288,discussion details win check today,spam
289,today please meeting cash money check free about,spam
290,project information money details offer please,spam
291,now cash please details discussion,spam
292,information please urgent team update client t...,not spam
293,check prize discussion information about,spam
294,cash regarding information report,spam
295,project today offer information,spam
296,cash about check today details,spam
297,details client report now please project,not spam
298,meeting schedule please today check information,not spam
299,regarding report project please,not spam
300,offer today check details now money,spam
301,please details discussion bonus regarding,not spam
302,today please project discussion details schedu...,not spam
303,information check update schedule,not spam
304,details information please now offer,spam
305,regarding report about update information deta...,not spam
306,urgent about today now project details,spam
307,please regarding report offer information,not spam
308,update check details discussion,not spam
309,bonus information client please urgent,spam
310,free about today,spam
311,information report bonus about regarding now p...,not spam
312,report bonus details information,spam
313,urgent please details information check,spam
314,please money free regarding prize check project,spam
315,check report cash information,not spam
316,meeting please details now about,not spam
317,win report check client meeting today information,not spam
318,meeting cash now information details check,not spam
319,report please now today check,not spam
320,cash check bonus now today,spam
321,team check report information schedule,not spam
322,information details update please urgent,not spam
323,regarding information about discussion urgent ...,not spam
324,details about cash discussion please,spam
325,details today offer win information money,spam
326,about now update report,not spam
327,check cash today win please,spam
328,details bonus prize offer regarding,spam
329,about project check prize,not spam
330,please win money details about now bonus,spam
331,bonus information urgent now win,spam
332,about bonus discussion regarding,not spam
333,today information meeting schedule discussion ...,not spam
334,today project regarding check information repo...,not spam
335,details about regarding discussion information...,not spam
336,client details please urgent schedule,not spam
337,please check discussion schedule regarding tod...,not spam
338,about project check now today,not spam
339,details regarding win schedule,spam
340,bonus regarding offer cash now details about,spam
341,urgent regarding check now,spam
342,about details please project team update,not spam
343,about project meeting details urgent,not spam
344,now urgent regarding bonus,spam
345,free update information about,not spam
346,check details information prize bonus now,spam
347,schedule today about details check,not spam
348,update now information please schedule meeting,not spam
349,win details about bonus regarding team,spam
350,report client information schedule check free ...,not spam
351,now project please information,not spam
352,details information team now,not spam
353,money prize schedule check now offer,spam
354,cash information now free details update prize,spam
355,prize information discussion please now regarding,not spam
356,schedule meeting check information please,not spam
357,regarding details project meeting about today,not spam
358,check offer schedule money win regarding,spam
359,project schedule details about,not spam
360,about schedule update information discussion t...,not spam
361,today discussion team regarding check,not spam
362,schedule today regarding please,not spam
363,about prize please team meeting project check,not spam
364,details offer prize please,spam
365,please details win now today,spam
366,money regarding details cash urgent,spam
367,schedule regarding please meeting today inform...,not spam
368,check please information update regarding,not spam
369,discussion details win today information,not spam
370,client details update information today please,not spam
371,now details schedule regarding about project m...,not spam
372,please details regarding project now,not spam
373,report bonus now please check,spam
374,cash today about check offer details,spam
375,prize today please now schedule information ur...,spam
376,details schedule information now please,not spam
377,schedule details discussion now,not spam
378,information check about regarding win,spam
379,report today meeting please regarding about,not spam
380,now check offer about prize details,spam
381,details win information now please cash,spam
382,please team bonus today about discussion sched...,not spam
383,check report please schedule information updat...,not spam
384,report regarding now urgent,spam
385,check today now regarding schedule,not spam
386,client project regarding now update cash,not spam
387,information regarding client check today schedule,not spam
388,now check free information details,spam
389,update please information,not spam
390,about information team check,not spam
391,meeting discussion regarding schedule now deta...,not spam
392,about update check regarding client win discus...,not spam
393,money details bonus please now about,spam
394,schedule check please bonus information regarding,spam
395,information urgent details money free,spam
396,details project client information regarding,not spam
397,regarding now bonus,spam
398,offer about urgent please win check,spam
399,schedule please information free bonus now,spam
400,bonus win client urgent information about,spam
401,regarding cash offer about please meeting now ...,spam
402,cash discussion check now today details,spam
403,today project regarding meeting update please,not spam
404,check client now information offer,spam
405,free money now meeting cash check,spam
406,now check today cash details,spam
407,money team regarding please,spam
408,prize today cash win please details regarding,spam
409,please check offer project,spam
410,cash about prize check today now,spam
411,about now prize project free,spam
412,now discussion about schedule details check,not spam
413,today regarding team about details client,not spam
414,client regarding offer money information free,spam
415,information details about win check urgent,spam
416,check details bonus information please,spam
417,information update money about urgent,spam
418,check client about,not spam
419,details win now prize free regarding,spam
420,about regarding check update project please,not spam
421,today about information client check,not spam
422,today now money about prize,spam
423,check today project,not spam
424,details regarding now meeting report,not spam
425,today details prize regarding information,spam
426,client update details regarding information pr...,not spam
427,details information meeting now check client m...,not spam
428,please regarding win about now,spam
429,bonus prize regarding money information,spam
430,free project about please check regarding,not spam
431,please now schedule check client meeting,not spam
432,about money now discussion cash offer,spam
433,regarding about win check,spam
434,cash today meeting regarding report schedule n...,not spam
435,today meeting urgent cash about now free infor...,spam
436,urgent about check bonus today,spam
437,cash today now update check about,spam
438,about check money regarding,spam
439,check win regarding,spam
440,client win today information schedule meeting ...,not spam
441,check now information money,spam
442,about please urgent team check,spam
443,now schedule project about details,not spam
444,offer please cash today check,spam
445,cash money today bonus now,spam
446,regarding information project today discussion...,not spam
447,information bonus about details,spam
448,information regarding now client,not spam
449,report now schedule details,not spam
450,team details check win update about please mee...,not spam
451,about information free schedule urgent now offer,spam
452,today project urgent regarding,spam
453,team check client regarding,not spam
454,now discussion today team meeting,not spam
455,schedule discussion check regarding update inf...,not spam
456,offer free check details about,spam
457,client today now regarding meeting schedule,not spam
458,win money free details now,spam
459,update schedule please details money about,not spam
460,schedule bonus information details,spam
461,cash check prize regarding details today,spam
462,now money bonus cash about information,spam
463,check now team information regarding discussio...,not spam
464,discussion details check today about schedule,not spam
465,details win information free check now prize,spam
466,about regarding check money bonus,spam
467,meeting check about report discussion,not spam
468,about win offer regarding meeting,spam
469,check details meeting bonus team,not spam
470,please regarding now prize cash,spam
471,today check about project now,not spam
472,cash check regarding bonus,spam
473,details about cash check regarding schedule,spam
474,about details check report,not spam
475,check schedule discussion now project details,not spam
476,about project money check information,not spam
477,today information cash about,spam
478,information details now win today,spam
479,free regarding check,spam
480,today about win details report client,not spam
481,information free win check today project money,spam
482,details client schedule check meeting information,not spam
483,regarding about please money free information win,spam
484,money regarding discussion bonus details,spam
485,meeting check now,not spam
486,regarding please information project report di...,not spam
487,details money about check regarding,spam
488,discussion team now about information today,not spam
489,details discussion now meeting schedule,not spam
490,free details regarding now today,spam
491,discussion today please information,not spam
492,information schedule details today meeting report,not spam
493,bonus please cash team now win,spam
494,about regarding project details,not spam
495,please discussion details about now,not spam
496,win team about prize money today,spam
497,please report discussion information check client,not spam
498,check project today,not spam
499,money client today free check win details now,spam
500,update information now free check team,not spam
501,today team regarding details,not spam
502,client information please prize about,not spam
503,report details now about today,not spam
504,regarding now bonus,spam
505,regarding details client schedule update,not spam
506,today now urgent team,spam
507,urgent about free regarding details,spam
508,please client about regarding information,not spam
509,please information meeting regarding,not spam
510,prize details please about money today,spam
511,report today now urgent details information,not spam
512,details please urgent,spam
513,cash information please,spam
514,project check details information please cash,spam
515,report now today check information,not spam
516,check money now about project,spam
517,free please information about money,spam
518,check today project,not spam
519,prize today bonus free check report,spam
520,please today information cash,spam
521,report meeting please update now money,not spam
522,free please update details,spam
523,information win regarding report,spam
524,schedule details information please offer,not spam
525,about information client team please update,not spam
526,check now project information client team details,not spam
527,team discussion please details,not spam
528,details discussion check about today,not spam
529,cash now money check urgent information about,spam
530,now project urgent bonus please check money,spam
531,check team regarding free now today,spam
532,now today free please team,spam
533,discussion offer urgent please today about prize,spam
534,information now please urgent today,spam
535,team offer regarding information,not spam
536,now meeting about check please,not spam
537,schedule regarding urgent information please d...,not spam
538,about free today now cash,spam
539,about update meeting information,not spam
540,cash information check,spam
541,please now details information team,not spam
542,project information about urgent please,spam
543,regarding update details discussion informatio...,not spam
544,please check win now,spam
545,cash urgent about please project bonus,spam
546,today regarding meeting money team,not spam
547,discussion about report details bonus team,not spam
548,regarding team check about update,not spam
549,details project offer regarding about check cash,spam
550,bonus please client information now check,not spam
551,bonus discussion please regarding,spam
552,now project regarding report free client details,not spam
553,today about information meeting discussion det...,not spam
554,about now client schedule details discussion win,not spam
555,free details regarding now team client update,not spam
556,check about project details regarding,not spam
557,money details check prize urgent,spam
558,check regarding about schedule information tea...,not spam
559,today client details offer regarding,not spam
560,team project win about meeting today,not spam
561,free please regarding information cash,spam
562,please money check win,spam
563,project today meeting check team about,not spam
564,team please client today,not spam
565,cash please now prize check update,spam
566,today schedule information money prize,spam
567,today details about update regarding urgent,spam
568,offer regarding now,spam
569,money about win urgent please,spam
570,details schedule project about,not spam
571,offer details urgent today,spam
572,team information update report check about,not spam
573,information free now report team about,not spam
574,information about prize client regarding,not spam
575,check client about today,not spam
576,discussion team now report today check regarding,not spam
577,urgent please offer about win,spam
578,details money information free now,spam
579,please report about bonus offer cash check today,spam
580,regarding discussion now prize about,spam
581,schedule please information discussion,not spam
582,information check report about please,not spam
583,please today information regarding discussion ...,not spam
584,bonus urgent check today cash please now,spam
585,check details project update offer about,not spam
586,bonus regarding please urgent information deta...,spam
587,regarding about meeting schedule team,not spam
588,now urgent update check discussion regarding d...,not spam
589,offer client update team information check ple...,not spam
590,details urgent bonus regarding free about,spam
591,money please details check project offer about,spam
592,details today about cash now,spam
593,now update regarding client today cash about m...,not spam
594,win regarding please,spam
595,money check about free details,spam
596,details offer meeting information please about...,spam
597,regarding please team urgent now details,not spam
598,check meeting now cash,not spam
599,information cash free today win check regarding,spam
